"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"5-5307","モータシャフト（G39L）　　φ2.5X31.9",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5308","セパレートシャフト（G20）　φ1.5X15.2",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5308","セパレートシャフト（G20）　φ1.5X15.2",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5308","セパレートシャフト（G20）　φ1.5X15.2",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5308","セパレートシャフト（G20）　φ1.5X15.2",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5308","セパレートシャフト（G20）　φ1.5X15.2",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5308","セパレートシャフト（G20）　φ1.5X15.2",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5308","セパレートシャフト（G20）　φ1.5X15.2",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5309","ロングシャフト（SP39）　　φ2.5X31.9",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5309","ロングシャフト（SP39）　　φ2.5X31.9",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5309","ロングシャフト（SP39）　　φ2.5X31.9",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5309","ロングシャフト（SP39）　　φ2.5X31.9",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5309","ロングシャフト（SP39）　　φ2.5X31.9",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5309","ロングシャフト（SP39）　　φ2.5X31.9",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5309","ロングシャフト（SP39）　　φ2.5X31.9",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5310","モーターシャフト（G27SK）",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-5310","モーターシャフト（G27SK）",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
