"26年03月","材料使用計画表","単位:材料=Kg 部品=個","作成日：","西暦26/03/16"
"部番","品名","在庫予定",,"合計","01*","02 ","03 ","04 ","05 ","06 ","07*","08*","09 ","10 ","11 ","12 ","13 ","14*","15*","16 ","17 ","18 ","19 ","20*","21*","22*","23 ","24 ","25 ","26 ","27 ","28*","29*","30 ","31 "
"8-5102","ＨＮＩ－Ｂ６２５",,"使用計画",2327.2,,109.0,109.0,109.0,64.6,64.6,,,64.6,176.0,220.5,220.5,130.4,,,,109.0,109.0,93.3,,,,109.0,109.0,109.0,109.0,93.3,,,109.0,109.0
"8-5102","ＨＮＩ－Ｂ６２５",,"発注計画",2200.0,,500.0,,,500.0,,,,,,600.0,,,,,,,,,,,,600.0,,,,,,,,
"8-5102-2","ＨＮＩ-Ｂ６２５            第2工場",,"実在庫",,,900.0,720.0,520.0,240.0,60.0,,,900.0,620.0,400.0,180.0,80.0,,,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0,620.0
"8-5102-2","ＨＮＩ-Ｂ６２５            第2工場",,"実使用",2080.0,,100.0,180.0,200.0,280.0,180.0,60.0,,100.0,280.0,220.0,220.0,100.0,80.0,,80.0,,,,,,,,,,,,,,,
"8-5102-2","ＨＮＩ-Ｂ６２５            第2工場",,"発注",4400.0,,1000.0,,,,,,,1000.0,,,,,,,700.0,,100.0,,,,,700.0,,500.0,,,,,400.0,
"8-5102-2","ＨＮＩ-Ｂ６２５            第2工場",,"納入",2700.0,,1000.0,,,,,,,1000.0,,,,,,,700.0,,,,,,,,,,,,,,,
"8-5102-2","ＨＮＩ-Ｂ６２５            第2工場",-358.7,"予定在庫",-776.3,-776.3,-962.3,-148.4,-334.4,-520.4,-706.5,-775.4,-775.4,-961.4,-147.4,-333.4,-519.5,-705.5,-705.5,-705.5,-191.5,-377.6,-463.6,-649.6,-718.5,-718.5,-718.5,-142.5,-328.6,-14.6,-200.6,-386.7,-386.7,-386.7,-172.7,-358.7
"8-5102-2","ＨＮＩ-Ｂ６２５            第2工場",,"使用計画",3982.4,,186.0,186.0,186.0,186.0,186.0,68.9,,186.0,186.0,186.0,186.0,186.0,,,186.0,186.0,186.0,186.0,68.9,,,124.0,186.0,186.0,186.0,186.0,,,186.0,186.0
"8-5102-2","ＨＮＩ-Ｂ６２５            第2工場",,"発注計画",4400.0,,,1000.0,,,,,,,1000.0,,,,,,700.0,,100.0,,,,,700.0,,500.0,,,,,400.0,
"8-5103","ＲＮＩ－５０ＬＦ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5103","ＲＮＩ－５０ＬＦ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5103","ＲＮＩ－５０ＬＦ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5103","ＲＮＩ－５０ＬＦ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5103","ＲＮＩ－５０ＬＦ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5103","ＲＮＩ－５０ＬＦ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5103","ＲＮＩ－５０ＬＦ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5104","ＨＰ－５０",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5104","ＨＰ－５０",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5104","ＨＰ－５０",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5104","ＨＰ－５０",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5104","ＨＰ－５０",-35.1,"予定在庫",-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1,-35.1
"8-5104","ＨＰ－５０",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5104","ＨＰ－５０",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5105","ＲＮＩ－１２３５ＦＪ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5105","ＲＮＩ－１２３５ＦＪ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5105","ＲＮＩ－１２３５ＦＪ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5105","ＲＮＩ－１２３５ＦＪ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5105","ＲＮＩ－１２３５ＦＪ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5105","ＲＮＩ－１２３５ＦＪ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5105","ＲＮＩ－１２３５ＦＪ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5106","ＲＮＩ－４０ＬＦ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5106","ＲＮＩ－４０ＬＦ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5106","ＲＮＩ－４０ＬＦ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5106","ＲＮＩ－４０ＬＦ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5106","ＲＮＩ－４０ＬＦ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5106","ＲＮＩ－４０ＬＦ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5106","ＲＮＩ－４０ＬＦ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5107","ＲＮＩ－６０ＬＦ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5107","ＲＮＩ－６０ＬＦ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5107","ＲＮＩ－６０ＬＦ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5107","ＲＮＩ－６０ＬＦ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5107","ＲＮＩ－６０ＬＦ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5107","ＲＮＩ－６０ＬＦ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5107","ＲＮＩ－６０ＬＦ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5108","ＲＮＩ－６０ＨＲ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5108","ＲＮＩ－６０ＨＲ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5108","ＲＮＩ－６０ＨＲ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5108","ＲＮＩ－６０ＨＲ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5108","ＲＮＩ－６０ＨＲ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5108","ＲＮＩ－６０ＨＲ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5108","ＲＮＩ－６０ＨＲ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5109","ＲＮＩ－６６５０ＨＹ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5109","ＲＮＩ－６６５０ＨＹ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5109","ＲＮＩ－６６５０ＨＹ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5109","ＲＮＩ－６６５０ＨＹ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5109","ＲＮＩ－６６５０ＨＹ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5109","ＲＮＩ－６６５０ＨＹ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5109","ＲＮＩ－６６５０ＨＹ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5110","ＲＮＩ－７０ＨＲ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5110","ＲＮＩ－７０ＨＲ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5110","ＲＮＩ－７０ＨＲ",,"発注",25.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,
"8-5110","ＲＮＩ－７０ＨＲ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5110","ＲＮＩ－７０ＨＲ",-50.4,"予定在庫",-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-50.2,-25.2,-50.4,-50.4,-50.4,-50.4,-50.4,-50.4,-50.4,-50.4
"8-5110","ＲＮＩ－７０ＨＲ",,"使用計画",25.2,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,
"8-5110","ＲＮＩ－７０ＨＲ",,"発注計画",25.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,
"8-5111","ＲＮＩ－８０ＨＲ１",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5111","ＲＮＩ－８０ＨＲ１",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5111","ＲＮＩ－８０ＨＲ１",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5111","ＲＮＩ－８０ＨＲ１",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5111","ＲＮＩ－８０ＨＲ１",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5111","ＲＮＩ－８０ＨＲ１",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5111","ＲＮＩ－８０ＨＲ１",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5112","ＲＮＩ－ＰＳ３５ＬＹ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5112","ＲＮＩ－ＰＳ３５ＬＹ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5112","ＲＮＩ－ＰＳ３５ＬＹ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5112","ＲＮＩ－ＰＳ３５ＬＹ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5112","ＲＮＩ－ＰＳ３５ＬＹ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5112","ＲＮＩ－ＰＳ３５ＬＹ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5112","ＲＮＩ－ＰＳ３５ＬＹ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5113","ＲＮＩ－ＰＳ７０ＨＹ",,"実在庫",,,300.0,200.0,200.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5113","ＲＮＩ－ＰＳ７０ＨＹ",,"実使用",300.0,,,100.0,,125.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5113","ＲＮＩ－ＰＳ７０ＨＹ",,"発注",300.0,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5113","ＲＮＩ－ＰＳ７０ＨＹ",,"納入",300.0,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5113","ＲＮＩ－ＰＳ７０ＨＹ",79.0,"予定在庫",3.1,3.1,3.1,378.1,378.1,287.5,196.9,196.9,196.9,106.2,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
"8-5113","ＲＮＩ－ＰＳ７０ＨＹ",,"使用計画",299.1,,,,,90.6,90.6,,,90.6,27.2,,,,,,,,,,,,,,,,,,,,,
"8-5113","ＲＮＩ－ＰＳ７０ＨＹ",,"発注計画",375.0,,,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5114","ＲＮＩ－９０ＨＲ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5114","ＲＮＩ－９０ＨＲ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5114","ＲＮＩ－９０ＨＲ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5114","ＲＮＩ－９０ＨＲ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5114","ＲＮＩ－９０ＨＲ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5114","ＲＮＩ－９０ＨＲ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5114","ＲＮＩ－９０ＨＲ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5115","ＲＮＩ－６５ＬＦ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5115","ＲＮＩ－６５ＬＦ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5115","ＲＮＩ－６５ＬＦ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5115","ＲＮＩ－６５ＬＦ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5115","ＲＮＩ－６５ＬＦ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5115","ＲＮＩ－６５ＬＦ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5115","ＲＮＩ－６５ＬＦ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5116","ＲＮＩ－４６６０",,"実在庫",,,100.0,75.0,75.0,75.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
"8-5116","ＲＮＩ－４６６０",,"実使用",100.0,,,25.0,,,50.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,
"8-5116","ＲＮＩ－４６６０",,"発注",100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5116","ＲＮＩ－４６６０",,"納入",100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5116","ＲＮＩ－４６６０",13.5,"予定在庫",-7.9,-7.9,92.1,92.1,92.1,76.4,60.7,60.7,60.7,37.1,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
"8-5116","ＲＮＩ－４６６０",,"使用計画",78.6,,,,,15.7,15.7,,,23.6,23.6,,,,,,,,,,,,,,,,,,,,,
"8-5116","ＲＮＩ－４６６０",,"発注計画",100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5117","ＲＮＩ－４６５０",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5117","ＲＮＩ－４６５０",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5117","ＲＮＩ－４６５０",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5117","ＲＮＩ－４６５０",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5117","ＲＮＩ－４６５０",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5117","ＲＮＩ－４６５０",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5117","ＲＮＩ－４６５０",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5118","ＲＮＩ－５２１４Ａ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5118","ＲＮＩ－５２１４Ａ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5118","ＲＮＩ－５２１４Ａ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5118","ＲＮＩ－５２１４Ａ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5118","ＲＮＩ－５２１４Ａ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5118","ＲＮＩ－５２１４Ａ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5118","ＲＮＩ－５２１４Ａ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5119","ＲＮＩ－５２０７Ｃ",,"実在庫",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
"8-5119","ＲＮＩ－５２０７Ｃ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5119","ＲＮＩ－５２０７Ｃ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5119","ＲＮＩ－５２０７Ｃ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5119","ＲＮＩ－５２０７Ｃ",58.2,"予定在庫",58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2
"8-5119","ＲＮＩ－５２０７Ｃ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5119","ＲＮＩ－５２０７Ｃ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5120","ＲＮＩ－５２０９",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5120","ＲＮＩ－５２０９",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5120","ＲＮＩ－５２０９",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5120","ＲＮＩ－５２０９",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5120","ＲＮＩ－５２０９",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5120","ＲＮＩ－５２０９",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5120","ＲＮＩ－５２０９",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5121","ＲＮＩ－４６４０",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5121","ＲＮＩ－４６４０",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5121","ＲＮＩ－４６４０",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5121","ＲＮＩ－４６４０",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5121","ＲＮＩ－４６４０",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5121","ＲＮＩ－４６４０",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5121","ＲＮＩ－４６４０",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5122","ＲＮＩ－５６１０Ｖ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5122","ＲＮＩ－５６１０Ｖ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5122","ＲＮＩ－５６１０Ｖ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5122","ＲＮＩ－５６１０Ｖ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5122","ＲＮＩ－５６１０Ｖ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5122","ＲＮＩ－５６１０Ｖ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5122","ＲＮＩ－５６１０Ｖ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5123","ＲＮＩ－９５ＨＲ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5123","ＲＮＩ－９５ＨＲ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5123","ＲＮＩ－９５ＨＲ",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5123","ＲＮＩ－９５ＨＲ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5123","ＲＮＩ－９５ＨＲ",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5123","ＲＮＩ－９５ＨＲ",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5123","ＲＮＩ－９５ＨＲ",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5150","ＨＭ－１６１６",,"実在庫",50.0,50.0,,700.0,650.0,600.0,550.0,550.0,550.0,550.0,500.0,400.0,300.0,200.0,200.0,200.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
"8-5150","ＨＭ－１６１６",,"実使用",700.0,,50.0,100.0,50.0,50.0,50.0,,,,50.0,100.0,100.0,100.0,,,50.0,,,,,,,,,,,,,,,
"8-5150","ＨＭ－１６１６",,"発注",1500.0,,,800.0,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,
"8-5150","ＨＭ－１６１６",,"納入",800.0,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5150","ＨＭ－１６１６",-251.0,"予定在庫",-318.4,-318.4,405.3,322.5,239.7,156.9,156.9,156.9,156.9,156.9,74.0,-23.0,-120.1,-202.9,-202.9,-202.9,-285.8,-382.8,-382.8,-382.8,-382.8,-382.8,-382.8,317.2,220.1,123.1,26.0,-56.8,-56.8,-56.8,-153.9,-251.0
"8-5150","ＨＭ－１６１６",,"使用計画",1432.6,,76.3,82.8,82.8,82.8,,,,,82.9,97.1,97.1,82.9,,,82.9,97.1,,,,,,,97.1,97.1,97.1,82.9,,,97.1,97.1
"8-5150","ＨＭ－１６１６",,"発注計画",1500.0,,800.0,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,
"8-5151","ＨＭ－１６１９",,"実在庫",11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
"8-5151","ＨＭ－１６１９",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5151","ＨＭ－１６１９",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5151","ＨＭ－１６１９",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5151","ＨＭ－１６１９",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5151","ＨＭ－１６１９",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5151","ＨＭ－１６１９",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5152","ＨＭ－１６１３",,"実在庫",,,,75.0,75.0,50.0,50.0,50.0,50.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"8-5152","ＨＭ－１６１３",,"実使用",75.0,,,25.0,,25.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
"8-5152","ＨＭ－１６１３",,"発注",100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5152","ＨＭ－１６１３",,"納入",100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5152","ＨＭ－１６１３",-52.6,"予定在庫",-95.3,-95.3,4.7,4.7,-4.8,-14.4,-23.9,-23.9,-23.9,-33.5,-43.0,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6,-52.6
"8-5152","ＨＭ－１６１３",,"使用計画",57.3,,,,9.5,9.5,9.5,,,9.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,
"8-5152","ＨＭ－１６１３",,"発注計画",100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5153","ＨＭ－１２１７",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5153","ＨＭ－１２１７",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5153","ＨＭ－１２１７",,"発注",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5153","ＨＭ－１２１７",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5153","ＨＭ－１２１７",,"予定在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5153","ＨＭ－１２１７",,"使用計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5153","ＨＭ－１２１７",,"発注計画",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5154","ＨＭ－１２１０Ｋ",,"実在庫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5154","ＨＭ－１２１０Ｋ",,"実使用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5154","ＨＭ－１２１０Ｋ",,"発注",75.0,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
"8-5154","ＨＭ－１２１０Ｋ",,"納入",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-5154","ＨＭ－１２１０Ｋ",-83.1,"予定在庫",-68.6,-68.6,-68.6,-68.6,-68.6,-68.6,-68.6,-68.6,-68.6,-83.8,-83.8,-83.8,-83.8,-83.8,-83.8,-83.8,-83.8,-83.8,-83.8,-8.8,-8.8,-8.8,-8.8,-8.8,-33.6,-58.3,-83.1,-83.1,-83.1,-83.1,-83.1,-83.1
"8-5154","ＨＭ－１２１０Ｋ",,"使用計画",89.5,,,,,,,,,15.2,,,,,,,,,,,,,,,24.8,24.8,24.8,,,,,
